timestep,PRESSURE_rmse,PRESSURE_mae,SWAT_rmse,SWAT_mae
3,0.898287,0.79942,0.00117847,0.000982635
4,0.934937,0.780934,0.00113898,0.000957759
5,1.42467,1.12982,0.001369,0.00107045
6,5.47835,4.75823,0.00307291,0.00135619
7,8.40509,7.7014,0.00392881,0.0013397
8,7.03857,5.89409,0.0108658,0.00206439
9,7.32461,4.82718,0.0219664,0.00395587
10,8.96529,5.76457,0.0207329,0.00440136
11,9.00179,4.39463,0.0151401,0.00312953
12,8.57059,4.80071,0.0164409,0.0038791
13,12.4479,7.26128,0.0352861,0.0091287
14,7.30921,5.34634,0.0208502,0.00589392
15,19.6384,9.38004,0.019942,0.00603368
16,16.9604,5.97341,0.020154,0.00625933
17,13.0992,7.18418,0.0193171,0.00591759
18,7.47896,4.889,0.018866,0.00601555
19,4.55649,2.66753,0.0124971,0.00376146
20,4.4302,2.01631,0.00814813,0.00231353
21,2.83139,1.73714,0.00535975,0.00169905
22,3.81743,1.97493,0.00579206,0.00188553
23,3.32372,1.93782,0.00440273,0.00151085
24,3.65315,2.02204,0.00390604,0.00151947
25,3.51275,2.12143,0.00615335,0.00186922
26,3.91172,2.1846,0.00547469,0.00176376
27,5.49836,3.06774,0.00444822,0.00175303
28,4.83745,2.88125,0.00743621,0.00234107
29,10.6562,6.1216,0.018601,0.00585325
30,7.76612,4.95293,0.015174,0.00507814
31,4.86105,2.85774,0.0107232,0.0036376
32,6.83232,3.43159,0.0151355,0.00507427
33,7.66118,4.53794,0.0148391,0.0044862
34,7.94515,4.31682,0.0178921,0.00604504
35,8.19422,4.35839,0.00835489,0.00301854
36,8.00608,3.85955,0.00792414,0.00238842
37,6.03918,2.76704,0.00986144,0.00226359
38,6.66741,2.83259,0.00593475,0.00232911
39,6.92589,2.99192,0.00481234,0.0015869
40,5.76876,2.80918,0.00562328,0.00187145
41,6.09343,2.86059,0.0034115,0.00163882
42,6.01328,2.94799,0.003059,0.00150737
43,5.73519,3.2747,0.00437976,0.00168949
44,11.0118,4.33188,0.00782624,0.00191796
45,15.6194,5.87159,0.0130907,0.0044633
46,17.6073,12.4542,0.0191824,0.00614122
47,9.21836,4.43614,0.0101243,0.00375145
48,11.792,4.77252,0.0091163,0.00366757
49,10.6311,6.66167,0.00627,0.00267823
50,10.3409,5.05236,0.00601851,0.00243596
51,12.2754,5.73233,0.0124761,0.00260736
52,8.78246,4.48696,0.0104547,0.00277773
53,12.9703,5.93572,0.0110381,0.00374589
54,11.9654,7.03061,0.0162769,0.00485032
55,12.6286,5.37646,0.0107987,0.00400432
56,12.4449,9.61632,0.0136272,0.00507503
57,9.93957,6.3849,0.00995571,0.00385761
58,9.51665,5.515,0.0104863,0.00381155
59,20.7427,13.3641,0.0103497,0.00423862
60,10.2652,6.78814,0.00995099,0.00395655
61,12.9154,5.53201,0.00883743,0.00304788
62,9.23573,5.05917,0.00651741,0.00235318
63,12.804,5.73354,0.00649622,0.00237669
64,10.6161,5.05457,0.00617788,0.00225528
